Institución que abrió la licitación,Institución Destino,Fecha de apertura,Mantenimiento de la oferta,Código de licitación,N° Expediente,Descripción Extraida,Producto,Cantidad,Unidades,Nro Renglón,Línea de Producto,Latitud,Longitud
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LACTEA DE INICIO EN POLVO (DESDE EL NACIMIENTO HASTA LOS 6 MESES DE EDAD) TIPO VITAL INFANTIL I- LATA CON CIERRE HERMETICO X900 GR APROX,VITAL 1 X 800G,24,UN,10,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA COMPLETA ESPECIALIZADA P/PERSONAS C/DIABETES MELLITUS E HIPERGLUCEMIAS, ISOCALORICAS, T/DIASON GLUCERNA",NUTRISON ADVANCED DIASON PACK X 1L,1200,UN,12,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA ISOCALORICA, LISTA PARA USAR, CON HIDROLIZADO DE PROTEINAS TIPO SURBIMED OPD HN",NUTRISON ADVANCED PEPTISORB PA 1000ML,600,UN,14,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LIQUIDA NUTRICIONALMENTE COMPLETA HIPERCALORICA E HIPERPROTEICA (LISTA PARA USAR) T/ NUTRISION ENERGY,NUTRISON PACK ENERGY 1000 ML,2400,UN,15,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA NUTRICIONALMENTE COMPLETA Y BALANCEADA ISOCALORICA, DE BAJO RESIDUO,(LISTA PARA USAR) T/NUTRISON, STANDARD, OSMOLITE",NUTRISON PACK  STD. 1000ML,2400,UN,16,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA SEMIELEMENTAL ISOCALORICA EN POLVO PARA PACIENTES CON FUNCION GASTROUNTESTINAL DISMINUIDA. TIPO PEPTISORB/SUSTENTA SEMI ELEMENTAL,NUTRISON ADVANCED PEPTISORB PA 1000ML,150,UN,17,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO VIA ORAL HIPERCALORICO E HIPERPROTEICO ENSURE PLUS/ FORTISIP/ FRESUBIN/ ENBRACE X200ML,FORTISIP VAINILLA BOTELLA X 200ML,1,UN,20,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL COMPLETO Y BALANCEADO VIA ORAL CON HMB BOT 237ML ENSURE ADVANCE SHAKE,FORTISIP VAINILLA BOTELLA X 200ML,1200,UN,23,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL HIPERCALORICO E HIPERPROTEICO VIA ORAL CON HMB BOT 220ML ENSURE CLINICAL,FORTISIP COMPACT VAN 24X125ML PB AR,600,UN,24,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO PARA PACIENTES DIABETICOS PARA ADMINISTRACION POR VIA ORAL TIPO DIASIP/GLUCERNA SR/DIBEN,DIASIP VAINILLA X 4 X 200 ML,500,UN,25,Diasip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO VIA ORAL HIPERCALORICO E HIPERPROTEICO ENSURE PLUS /FORTISIP/ FRESUBIN/ ENBRACE X200ML,FORTISIP VAINILLA BOTELLA X 200ML,600,UN,26,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL PARA PACIENTE RENAL PRE DIALISIS (TRATAMIENTO CONSERVADOR BAJO EN PROTEINAS)X200ML FRESUBIN RENAL,FORTISIP COMPACT VAN 24X125ML PB AR,300,UN,27,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"SUPLEMENTO ORAL SEMISOLIDO NUTRICIONALMENTE COMPLETO CON ALTA DENSIDAD ENERGETICA, ALTO PROTEICO 250 CALORIAS POR POTE DE 125GR",FORTISIP COMPACT VAN 24X125ML PB AR,720,UN,28,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,LECHE FLUIDA PARA PREMATUROS 70 ML APROX,NUTRILON PREMATUROS 1 BOTELLA X 70ML,2400,UN,30,Nutrilon,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,ALMIDON DE MAIZ MODIFICADO ESPESANTE INSTANTANEO X 300 GRS,ESPESAN PLUS (NUTILIS) 12X300G ARG,43,UN,32,Espesan,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA LIQUIDA NUTRICIONALMENTE COMPLETA Y BALANCEADA ISOCALORICA, DE BAJO RESIDUO(LISTA PARA USAR) T/ NUTRISON, STANDARD, OSMOLITE",NUTRISON PACK  STD. 1000ML,5,UN,35,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL COMPLETO Y BALANCEADO VIA ORAL CON HMB. BOT. 237ML ENSURE ADVANCE SHAKE,FORTISIP VAINILLA BOTELLA X 200ML,82,UN,36,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL COMPLETO Y BALANCEADO VIA ORAL CON HMB. BOT. 237ML ENSURE ADVANCE SHAKE,FORTISIP COMPACT VAN 24X125ML PB AR,82,UN,36,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO PARA PACIENTES DIABETICOS PARA ADMINISTRACION POR VIA ORAL TIPO DIASIP/GLUCERNA SR/DIBEN,DIASIP VAINILLA X 4 X 200 ML,68,UN,37,Diasip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,SUPLEMENTO NUTRICIONAL LIQUIDO VIA ORAL HIPERCALORICO E HIPERPROTEICO ENSURE PLUS /FORTISIP/FRESUBIN/ENBRACE X200ML,FORTISIP VAINILLA BOTELLA X 200ML,162,UN,38,Fortisip,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",NUTRILON AR 1 LATA X 400G,400,UN,39,Nutrilon,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",VITAL AR LATA X 400G,400,UN,39,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LACTEA DE CONTINUACION EN POLVO (DESDE 6 MESES A 1AÑO DE EDAD) TIPO VITAL INF.II- LATA CON CIERRE HERMERICO,VITAL 2 LICITACIONES POUCH X 1KG,270,UN,40,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA LACTEA DE INICIO EN POLVO (DESDE EL NACIMINETO HASTA ÑPS 6 MESES DE EDAD) TIPO VITAL INFANTIL I- LATA CON CIERRE HERMETICO X900GR APROX,VITAL 1 X 800G,660,UN,41,Vital,-34.5112578,-58.4906088
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,MÓDULO DE CASEINATO DE CALCIO MÓDULO PROTEICO 250 GRS. LATA,SECALBUM LATA X 225 GR,10,GRS,5,Secalbum,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,MÓDULO DE ALMIDON DE MAIZ MODIFICADO ESPESANTE P/LÍQUIDOS 300 GRS. LATA,ESPESAN PLUS (NUTILIS) 12X300G ARG,12,GRS,7,Espesan,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA LÁCTEA DE INICIO (0 A 6 MESES) 0.67KCAL/ML 800G-1000G LATA Ó CAJA - UNIDAD - PROTEÍNAS, SUERO/CASEÍNA (60/40)",VITAL 1 LICITACIONES POUCH X 1KG,150,G,8,Vital,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA LÁCTEA DE INICIO (0 A 6 MESES) 0.67KCAL/ML 800G-1000G LATA Ó CAJA - UNIDAD - PROTEÍNAS, SUERO/CASEÍNA (60/40)",NUTRILON 1 LATA X 800G,150,G,8,Nutrilon,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,"FÓRMULA COMPLETA EN POLVO PARA PEDIATRÍA LÁCTEA PARA PREMATURO Y/O BAJO PESO AL NACER 0.67-079KCAL/ML 400 GRS. - LATA - UNIDAD PROTEÍNAS, SUERO/CASEÍNA (60-40 Ó 70/30)",NUTRILON PREMATUROS 1 X 400GR,30,GRS,9,Nutrilon,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA LÁCTEA DE INICIO (0-6MESES) 0.67KCAL/ML 200-250ML-BRICK-UNIDAD PROTEÍNAS SUERO/CASEÍNA (60/40),VITAL 1 X 200 ML,2500,ML,10,Vital,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA LÁCTEA DE INICIO (0-6MESES) 0.67KCAL/ML 200-250ML-BRICK-UNIDAD PROTEÍNAS SUERO/CASEÍNA (60/40),VITAL 1 X 200 ML,1000,ML,11,Vital,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA EN POLVO-NUTRICIONALMENTE COMPLETA - SIN FIBRA VARIOS SABORES/NEUTRO 1 CAL/ML 325/460 GRS. LATA,FORTISIP MAX NEUTRO LATA X 350G,200,GRS,12,Fortisip,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA ENTERAL LISTA P/USAR NORMOCALORICA-NORMOPROTEICA PROTEÍNA ENTERA- SIN FIBRAS 1 CAL/ML 1000 ML,NUTRISON PACK  STD. 1000ML,1600,ML,13,Nutrison,,
HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,HOSPITAL INTERZONAL GENERAL DE AGUDOS V. LOPEZ Y PLANES,2025-01-07,Treinta (30) días hábiles administrativos,Licitación Privada N° 12/2025,EX-2024-40567419- -GDEBA-HIAVLPMSALGP,FÓRMULA COMPLETA LISTA PARA USAR EN PEDIATRÍA-NORMOCALÓRICA-PROTEÍNA ENTERA SIN LACTOSA (1-6 AÑOS Ó 8-20KG) Ó (1-12 AÑOS) 1KCAL/ML 500ML - PACK CERRADO - UNIDAD,NUTRINI ENERGY MF  OPTRI X 500ML,800,ML,14,Nutrini,,
